FID,FID_Buildi,osm_id,name,type,startX,startY,endX,endY
2455,1,23413845.000000000000000, ,school,-0.339835000000000,39.469923899999998,-0.339549600000000,39.469840400000002
2456,204,1240815115.000000000000000, , ,-0.339835000000000,39.469923899999998,-0.339549600000000,39.469840400000002
2457,205,1240815122.000000000000000, , ,-0.339835000000000,39.469923899999998,-0.339549600000000,39.469840400000002
2458,206,1240815123.000000000000000, , ,-0.339835000000000,39.469923899999998,-0.339549600000000,39.469840400000002
2459,139,689178637.000000000000000, ,apartments,-0.341870400000000,39.469984199999999,-0.341958000000000,39.469804099999998
2460,139,689178637.000000000000000, ,apartments,-0.341958000000000,39.469804099999998,-0.342128900000000,39.469850299999997
2461,139,689178637.000000000000000, ,apartments,-0.342128900000000,39.469850299999997,-0.342326900000000,39.469907800000001
2462,139,689178637.000000000000000, ,apartments,-0.342326900000000,39.469907800000001,-0.342516500000000,39.469962799999998
2463,139,689178637.000000000000000, ,apartments,-0.342516500000000,39.469962799999998,-0.342582800000000,39.469982000000002
2464,1,23413845.000000000000000, ,school,-0.339884600000000,39.469821600000003,-0.340166700000000,39.469906299999998
2465,1,23413845.000000000000000, ,school,-0.340166700000000,39.469906299999998,-0.340116300000000,39.470008000000000
2466,1,23413845.000000000000000, ,school,-0.340116300000000,39.470008000000000,-0.339835000000000,39.469923899999998
2467,204,1240815115.000000000000000, , ,-0.339884600000000,39.469821600000003,-0.340166700000000,39.469906299999998
2468,204,1240815115.000000000000000, , ,-0.340166700000000,39.469906299999998,-0.340116300000000,39.470008000000000
2469,204,1240815115.000000000000000, , ,-0.340116300000000,39.470008000000000,-0.339835000000000,39.469923899999998
2470,206,1240815123.000000000000000, , ,-0.339884600000000,39.469821600000003,-0.340166700000000,39.469906299999998
2471,206,1240815123.000000000000000, , ,-0.340166700000000,39.469906299999998,-0.340116300000000,39.470008000000000
2472,206,1240815123.000000000000000, , ,-0.340116300000000,39.470008000000000,-0.339835000000000,39.469923899999998
2473,1,23413845.000000000000000, ,school,-0.341486800000000,39.469831999999997,-0.341379800000000,39.470050700000002
2474,203,1240815112.000000000000000, ,roof,-0.341486800000000,39.469831999999997,-0.341379800000000,39.470050700000002
2475,1,23413845.000000000000000, ,school,-0.340268000000000,39.470053200000002,-0.340318300000000,39.469952100000000
2476,1,23413845.000000000000000, ,school,-0.340318300000000,39.469952100000000,-0.340513300000000,39.470009800000000
2477,198,1240815104.000000000000000, , ,-0.340268000000000,39.470053200000002,-0.340318300000000,39.469952100000000
2478,198,1240815104.000000000000000, , ,-0.340318300000000,39.469952100000000,-0.340513300000000,39.470009800000000
2479,203,1240815112.000000000000000, ,roof,-0.340268000000000,39.470053200000002,-0.340318300000000,39.469952100000000
